// SR1 Audio Analyzer: 6/2/2023 1:09:56 PM

// Series: A1:FFT1:Power Spectrum A
// Units: Hz,Vrms
0,2.07401900829368E-5
0.48828125,1.65885812960403E-5
0.9765625,8.28574118282637E-6
1.46484375,2.35610856912414E-6
1.953125,2.82138548425843E-7
2.44140625,1.25141931029606E-8
2.9296875,1.11488125742957E-8
3.41796875,9.69193962950754E-9
3.90625,1.05864725869264E-8
4.39453125,1.29571739242381E-8
4.8828125,1.17942539576044E-8
5.37109375,8.54613827919184E-9
5.859375,1.07853904381303E-8
6.34765625,1.14002706598031E-8
6.8359375,6.60717060825514E-9
7.32421875,1.43329376571966E-9
7.8125,7.22699312711794E-9
8.30078125,9.95348576076518E-9
8.7890625,8.09410966821708E-9
9.27734375,4.66586700358819E-9
9.765625,5.54820147539258E-9
10.25390625,8.59433040675154E-9
10.7421875,1.20779949754442E-8
11.23046875,1.3796120147346E-8
11.71875,9.96239131194446E-9
12.20703125,1.69149151298248E-9
12.6953125,1.06031936236484E-8
13.18359375,1.48054694691483E-8
13.671875,1.17996563178138E-8
14.16015625,6.48826035717512E-9
14.6484375,3.00823369843568E-9
15.13671875,2.60937633048824E-9
15.625,4.43947747606541E-9
16.11328125,6.7508906829463E-9
16.6015625,7.56186080278688E-9
17.08984375,5.87394375913938E-9
17.578125,3.95295376164871E-9
18.06640625,5.08593669326835E-9
18.5546875,6.66020835783583E-9
19.04296875,6.3699782415561E-9
19.53125,5.40778110076351E-9
20.01953125,5.17913700978899E-9
20.5078125,3.7677245844377E-9
20.99609375,4.10686610279651E-10
21.484375,4.78415199374383E-9
21.97265625,5.37558586083171E-9
22.4609375,1.94478231997355E-9
22.94921875,2.91340412760638E-9
23.4375,5.46563445762902E-9
23.92578125,7.33383249851316E-9
24.4140625,9.55062254116628E-9
24.90234375,1.23527782725545E-8
25.390625,1.6194357097122E-8
25.87890625,1.75932502403356E-8
26.3671875,1.03885052103214E-8
26.85546875,1.40225920826068E-8
27.34375,4.52553305886026E-8
27.83203125,6.76214818696872E-8
28.3203125,6.38104262800492E-8
28.80859375,3.93475271254787E-8
29.296875,1.42437341683027E-8
29.78515625,2.24163389394066E-9
30.2734375,1.68920846673595E-9
30.76171875,4.51268995290634E-9
31.25,7.93816397283103E-9
31.73828125,9.56922106066971E-9
32.2265625,9.69124357353783E-9
32.71484375,9.54256277872602E-9
33.203125,9.03860334364784E-9
33.69140625,4.86296389485952E-9
34.1796875,1.40386556598755E-9
34.66796875,1.61359165231284E-9
35.15625,3.43713695909485E-9
35.64453125,6.2125046071018E-9
36.1328125,8.14931466657316E-9
36.62109375,8.6796129176847E-9
37.109375,7.65138759729453E-9
37.59765625,8.11525445029975E-9
38.0859375,1.30982284294367E-8
38.57421875,1.5787824976655E-8
39.0625,1.22484676170934E-8
39.55078125,4.63911332258713E-9
40.0390625,6.90782681277373E-9
40.52734375,1.4979037175628E-8
41.015625,2.270102715672E-8
41.50390625,3.11209042754761E-8
41.9921875,3.57069692371003E-8
42.48046875,2.99915302191624E-8
42.96875,1.67813689076972E-8
43.45703125,1.79078421851359E-8
43.9453125,2.69774629554772E-8
44.43359375,2.71930693870547E-8
44.921875,2.31004966117743E-8
45.41015625,2.18523662362669E-8
45.8984375,2.2526120039478E-8
46.38671875,1.98396675999786E-8
46.875,1.23775618235183E-8
47.36328125,1.17269765356635E-8
47.8515625,1.90949368957635E-8
48.33984375,2.23155526585856E-8
48.828125,1.94687114529162E-8
49.31640625,1.3472235646231E-8
49.8046875,8.77904691846668E-9
50.29296875,7.99053571557139E-9
50.78125,7.03811629604677E-9
51.26953125,5.92182122803484E-9
51.7578125,6.66232200984478E-9
52.24609375,6.74813109908234E-9
52.734375,7.87227364912862E-9
53.22265625,1.04019857487249E-8
53.7109375,1.21922458714526E-8
54.19921875,1.17889856479535E-8
54.6875,1.22134935708822E-8
55.17578125,1.48921575234499E-8
55.6640625,1.26392835087546E-8
56.15234375,1.01755225731115E-8
56.640625,1.20300138708464E-8
57.12890625,1.35462422319535E-8
57.6171875,1.83985114665263E-8
58.10546875,2.11085163379927E-8
58.59375,1.7678719160913E-8
59.08203125,1.677576628801E-8
59.5703125,2.09565228737373E-8
60.05859375,1.95304284864352E-8
60.546875,1.08865460058194E-8
61.03515625,6.37406912590152E-10
61.5234375,5.5666024029698E-9
62.01171875,6.00585338205376E-9
62.5,3.74422013670733E-9
62.98828125,3.55394659571467E-9
63.4765625,4.70268873503013E-9
63.96484375,4.68598801867126E-9
64.453125,2.8065214649986E-9
64.94140625,2.0362628850675E-9
65.4296875,4.93420813055646E-9
65.91796875,8.12277284003463E-9
66.40625,9.69670044806994E-9
66.89453125,9.8631948707278E-9
67.3828125,6.74378605322676E-9
67.87109375,8.63114345112957E-10
68.359375,5.61063502523222E-9
68.84765625,1.06362998157695E-8
69.3359375,1.31396738627914E-8
69.82421875,1.23866227782306E-8
70.3125,8.28975895033092E-9
70.80078125,1.71540672230538E-9
71.2890625,4.33193718514422E-9
71.77734375,6.03468165029618E-9
72.265625,3.14051256785126E-9
72.75390625,1.05130597171903E-9
73.2421875,4.64235281756889E-9
73.73046875,1.0219990410204E-8
74.21875,1.5569189199632E-8
74.70703125,1.80952358458264E-8
75.1953125,1.74145877405045E-8
75.68359375,1.44495811631968E-8
76.171875,9.53564451584146E-9
76.66015625,3.91379489159364E-9
77.1484375,4.77350040735177E-9
77.63671875,6.26805155853786E-9
78.125,4.76882851601505E-9
78.61328125,4.73151187535089E-9
79.1015625,6.20624576289331E-9
79.58984375,7.39160427226727E-9
80.078125,8.81838327785632E-9
80.56640625,1.00211187138093E-8
81.0546875,1.05820631428883E-8
81.54296875,9.93455520926777E-9
82.03125,7.26149350980639E-9
82.51953125,7.99881147235007E-9
83.0078125,1.55236120220913E-8
83.49609375,2.04459789829634E-8
83.984375,1.70402619270911E-8
84.47265625,7.7833216098012E-9
84.9609375,1.47084159519343E-9
85.44921875,5.14171695910738E-9
85.9375,6.39975982801491E-9
86.42578125,5.35249002860445E-9
86.9140625,3.34521610552913E-9
87.40234375,3.50140062729367E-9
87.890625,5.93264731677913E-9
88.37890625,7.34586377123773E-9
88.8671875,5.78767540490555E-9
89.35546875,5.08008179036164E-9
89.84375,6.02844964584968E-9
90.33203125,4.81211935582249E-9
90.8203125,3.74234120102746E-9
91.30859375,5.90679023920318E-9
91.796875,9.21876508355492E-9
92.28515625,9.89518815828191E-9
92.7734375,8.36362987602804E-9
93.26171875,8.31664322257079E-9
93.75,8.41259665315706E-9
94.23828125,7.93621170870984E-9
94.7265625,8.92101056965748E-9
95.21484375,1.06547038385733E-8
95.703125,1.18501014382721E-8
96.19140625,1.20271589557328E-8
96.6796875,1.10626127997299E-8
97.16796875,9.33569460676296E-9
97.65625,6.59384292141976E-9
98.14453125,1.94818703158227E-9
98.6328125,4.28099922014479E-9
99.12109375,1.12627228524131E-8
99.609375,1.69684965903187E-8
100.09765625,1.60852152293428E-8
100.5859375,8.21624563216972E-9
101.07421875,7.94970873272733E-10
101.5625,1.86750059103692E-9
102.05078125,2.02010376070542E-9
102.5390625,3.0943372171035E-9
103.02734375,2.65636668145246E-9
103.515625,3.131644097325E-9
104.00390625,5.99950356462371E-9
104.4921875,7.03137719919853E-9
104.98046875,6.2068983882797E-9
105.46875,4.33541885766512E-9
105.95703125,2.74295782679372E-9
106.4453125,5.76547041959349E-9
106.93359375,7.44091998870393E-9
107.421875,6.47575456359812E-9
107.91015625,6.18998746653716E-9
108.3984375,8.04169222542021E-9
108.88671875,8.83869851548118E-9
109.375,8.60980107577585E-9
109.86328125,6.89679695435602E-9
110.3515625,2.26324587665101E-9
110.83984375,3.52662984510453E-9
111.328125,7.79630036457175E-9
111.81640625,9.90653352212602E-9
112.3046875,9.88498139420043E-9
112.79296875,7.95806389716189E-9
113.28125,4.94984173629754E-9
113.76953125,1.35247383556106E-9
114.2578125,3.16715365891856E-9
114.74609375,7.22326587061999E-9
115.234375,9.11293551797324E-9
115.72265625,8.44318355457526E-9
116.2109375,6.2565190679781E-9
116.69921875,3.04777868580771E-9
117.1875,4.36442089620802E-9
117.67578125,9.08535591269043E-9
118.1640625,1.263203518454E-8
118.65234375,1.39360707019377E-8
119.140625,1.1418595083196E-8
119.62890625,5.57518726718482E-9
120.1171875,2.07676108596369E-9
120.60546875,2.98390845284951E-9
121.09375,2.85417714879226E-9
121.58203125,6.09244831918343E-9
122.0703125,9.70799473126404E-9
122.55859375,1.09930129653646E-8
123.046875,8.0001994574121E-9
123.53515625,1.97296670344375E-9
124.0234375,7.23982607497356E-9
124.51171875,1.10955254886675E-8
125,1.14004085657791E-8
125.48828125,1.07670009531909E-8
125.9765625,9.30163220466701E-9
126.46484375,7.5388840895627E-9
126.953125,6.17773536401643E-9
127.44140625,4.27232407826167E-9
127.9296875,2.90083409875269E-9
128.41796875,2.22456501891216E-9
128.90625,2.97831532378765E-9
129.39453125,3.84489737245199E-9
129.8828125,3.39585429095759E-9
130.37109375,3.86884666622465E-9
130.859375,3.79343635875219E-9
131.34765625,2.60484743053986E-9
131.8359375,2.01219405851057E-9
132.32421875,3.88706650284979E-9
132.8125,8.5081234662679E-9
133.30078125,1.16048858208931E-8
133.7890625,8.66595986994061E-9
134.27734375,1.56155644372669E-9
134.765625,4.3552266683775E-9
135.25390625,7.41845981264104E-9
135.7421875,9.75562325556506E-9
136.23046875,1.10427269324834E-8
136.71875,1.03843531405071E-8
137.20703125,8.42397886075919E-9
137.6953125,5.8667387370428E-9
138.18359375,3.93585547173457E-9
138.671875,5.27097830884912E-9
139.16015625,7.49381161756854E-9
139.6484375,6.76616979934438E-9
140.13671875,6.82036217096203E-9
140.625,1.01001274120589E-8
141.11328125,1.25824473487499E-8
141.6015625,1.2621854960465E-8
142.08984375,1.05157510708087E-8
142.578125,6.64296909742618E-9
143.06640625,3.21308249979762E-9
143.5546875,4.40413939775436E-9
144.04296875,6.65966372814481E-9
144.53125,9.16639697218161E-9
145.01953125,1.09626635962569E-8
145.5078125,1.14286825251147E-8
145.99609375,8.72503721894899E-9
146.484375,2.71144573596801E-9
146.97265625,5.61759945138136E-9
147.4609375,7.81364417972142E-9
147.94921875,6.18879429199455E-9
148.4375,5.1948253674703E-9
148.92578125,5.96082592444088E-9
149.4140625,7.93635484599602E-9
149.90234375,9.69168402970026E-9
150.390625,9.05688159866594E-9
150.87890625,5.75843733208638E-9
151.3671875,2.00001691687442E-9
151.85546875,1.16625776171225E-9
152.34375,1.52789243877186E-9
