// SR1 Audio Analyzer: 6/2/2023 12:53:39 PM

// Series: A1:FFT1:Power Spectrum A
// Units: Hz,Vrms
0,0.0524002572283826
0.48828125,0.0419202221899732
0.9765625,0.0209601247109688
1.46484375,0.00598859139276402
1.953125,0.000748634562097596
2.44140625,1.01604139249508E-6
2.9296875,7.66330232041252E-7
3.41796875,6.83613280362484E-7
3.90625,5.71108936605134E-7
4.39453125,5.04585968120768E-7
4.8828125,6.30378636694728E-7
5.37109375,7.74774736899341E-7
5.859375,8.00558044675059E-7
6.34765625,7.48995556401697E-7
6.8359375,7.07021120796812E-7
7.32421875,6.79091120339619E-7
7.8125,6.83165278296167E-7
8.30078125,7.0607501631037E-7
8.7890625,7.11839552392647E-7
9.27734375,7.34854577383176E-7
9.765625,7.33171246547945E-7
10.25390625,6.61382880203906E-7
10.7421875,6.15549230268665E-7
11.23046875,6.30018189945106E-7
11.71875,6.62783435097458E-7
12.20703125,7.46073417543521E-7
12.6953125,8.24459046459302E-7
13.18359375,8.27219152880258E-7
13.671875,7.97119928792126E-7
14.16015625,8.03809778077505E-7
14.6484375,8.74717672257229E-7
15.13671875,8.9601568829404E-7
15.625,8.37906876557751E-7
16.11328125,8.5182907232216E-7
16.6015625,8.1231955778083E-7
17.08984375,7.01927465638698E-7
17.578125,6.6732972485792E-7
18.06640625,6.6887699103437E-7
18.5546875,7.02137709344794E-7
19.04296875,7.68042782840025E-7
19.53125,8.02040420943817E-7
20.01953125,7.59036896993049E-7
20.5078125,6.79325549673663E-7
20.99609375,6.38833027370907E-7
21.484375,6.47880661192437E-7
21.97265625,6.2316429077378E-7
22.4609375,5.77650589756478E-7
22.94921875,5.54202296196597E-7
23.4375,5.36674420432311E-7
23.92578125,6.29774717691392E-7
24.4140625,7.69272145795222E-7
24.90234375,8.51064734476235E-7
25.390625,8.36808768497897E-7
25.87890625,7.31015179075112E-7
26.3671875,6.21254977542315E-7
26.85546875,6.00533048436542E-7
27.34375,6.79438394208461E-7
27.83203125,7.46448704847735E-7
28.3203125,7.22059684144604E-7
28.80859375,6.60332351073592E-7
29.296875,6.55265495257197E-7
29.78515625,6.87585126649113E-7
30.2734375,6.76409641557777E-7
30.76171875,6.14858641707565E-7
31.25,5.69793634467801E-7
31.73828125,5.43019646556453E-7
32.2265625,5.46535426296862E-7
32.71484375,5.88244041782882E-7
33.203125,5.94008926938001E-7
33.69140625,5.95997307339335E-7
34.1796875,6.33205977464743E-7
34.66796875,6.60815592742962E-7
35.15625,6.76807235325733E-7
35.64453125,6.73874760623926E-7
36.1328125,6.68184287246513E-7
36.62109375,6.72227505048564E-7
37.109375,6.49488995802066E-7
37.59765625,6.00073072021559E-7
38.0859375,5.93965074679953E-7
38.57421875,6.41336467012436E-7
39.0625,6.64945167710905E-7
39.55078125,6.49590426600792E-7
40.0390625,5.97496087275063E-7
40.52734375,5.44521531528351E-7
41.015625,5.47888191149451E-7
41.50390625,5.75788676453285E-7
41.9921875,6.23330025400409E-7
42.48046875,6.61388179895649E-7
42.96875,6.28387223540851E-7
43.45703125,5.84118389126972E-7
43.9453125,5.98286774804529E-7
44.43359375,5.7963355392907E-7
44.921875,5.54901553959079E-7
45.41015625,5.77459145250174E-7
45.8984375,5.62887004471287E-7
46.38671875,5.08174785738026E-7
46.875,4.74557050919678E-7
47.36328125,4.96675293933511E-7
47.8515625,5.13971814551386E-7
48.33984375,5.49679425798432E-7
48.828125,6.31445588617153E-7
49.31640625,6.85943235942132E-7
49.8046875,6.54905225895864E-7
50.29296875,5.93092306264867E-7
50.78125,5.76339552130269E-7
51.26953125,5.89141334219026E-7
51.7578125,6.15014486776469E-7
52.24609375,6.35234796529817E-7
52.734375,6.20702160222727E-7
53.22265625,5.94856278711326E-7
53.7109375,5.49527361327566E-7
54.19921875,4.92485155312015E-7
54.6875,4.94440809528922E-7
55.17578125,5.66693045434252E-7
55.6640625,6.22226198485828E-7
56.15234375,6.57153700622406E-7
56.640625,7.21280909712289E-7
57.12890625,7.48104491787476E-7
57.6171875,7.04815629896011E-7
58.10546875,6.87822723051563E-7
58.59375,7.84938612414084E-7
59.08203125,1.10748866740134E-6
59.5703125,1.72702233257962E-6
60.05859375,1.99498431871578E-6
60.546875,1.51070178191677E-6
61.03515625,8.18199406117938E-7
61.5234375,6.33505508091028E-7
62.01171875,6.4551404656452E-7
62.5,6.26171842483814E-7
62.98828125,6.38344074329522E-7
63.4765625,6.77241954286284E-7
63.96484375,6.78679982681338E-7
64.453125,6.01464015699581E-7
64.94140625,5.25385616451206E-7
65.4296875,5.19264615946564E-7
65.91796875,5.08019666211473E-7
66.40625,5.00773373333789E-7
66.89453125,5.22621125273402E-7
67.3828125,5.21424936482411E-7
67.87109375,5.25533745211408E-7
68.359375,5.68149954136799E-7
68.84765625,6.24326728803692E-7
69.3359375,6.48504426968654E-7
69.82421875,5.90446398066654E-7
70.3125,4.77065363768272E-7
70.80078125,4.2083631024283E-7
71.2890625,4.63405359188389E-7
71.77734375,5.37346776967804E-7
72.265625,5.81777079011947E-7
72.75390625,5.68532444607707E-7
73.2421875,5.10145221844643E-7
73.73046875,4.48870287069158E-7
74.21875,4.40511369629132E-7
74.70703125,4.85720109348474E-7
75.1953125,5.19457792460218E-7
75.68359375,4.8637476813977E-7
76.171875,4.6322538650518E-7
76.66015625,5.11724428094851E-7
77.1484375,5.61394452837051E-7
77.63671875,5.76022235013802E-7
78.125,5.27586099748007E-7
78.61328125,4.80121208910939E-7
79.1015625,5.07515891779482E-7
79.58984375,5.28811609544156E-7
80.078125,5.24128088351576E-7
80.56640625,4.96625188594375E-7
81.0546875,4.87548039210659E-7
81.54296875,5.22330504533334E-7
82.03125,5.42181177217318E-7
82.51953125,5.51287416635157E-7
83.0078125,5.65863321072157E-7
83.49609375,5.74072952357307E-7
83.984375,5.54924604897324E-7
84.47265625,4.75746739199592E-7
84.9609375,3.84721858217147E-7
85.44921875,4.32682042376504E-7
85.9375,4.83271020348863E-7
86.42578125,4.36558474658931E-7
86.9140625,4.20804493105781E-7
87.40234375,4.45763344212168E-7
87.890625,4.57586731949784E-7
88.37890625,4.82924954898768E-7
88.8671875,5.07438310892807E-7
89.35546875,5.16762373065939E-7
89.84375,5.02800719648086E-7
90.33203125,4.68746027453528E-7
90.8203125,4.19800722144108E-7
91.30859375,4.34925318249427E-7
91.796875,5.03671550982641E-7
92.28515625,5.2218817955101E-7
92.7734375,4.88069258966902E-7
93.26171875,4.7247220843419E-7
93.75,4.86481882889791E-7
94.23828125,4.79503466899892E-7
94.7265625,4.65830280070851E-7
95.21484375,4.69143859787915E-7
95.703125,4.45713031611262E-7
96.19140625,4.04150718356498E-7
96.6796875,3.6902892845489E-7
97.16796875,3.47432753707927E-7
97.65625,3.60882789359137E-7
98.14453125,3.59374078062504E-7
98.6328125,3.75101007031784E-7
99.12109375,4.55264836188565E-7
99.609375,4.93039971343304E-7
100.09765625,4.73755258665479E-7
100.5859375,5.05186685979249E-7
101.07421875,5.48244548898894E-7
101.5625,5.30821108344527E-7
102.05078125,4.85830668078162E-7
102.5390625,4.33609299667936E-7
103.02734375,3.7765996245976E-7
103.515625,3.44695961847874E-7
104.00390625,3.39066656986294E-7
104.4921875,3.92747761193235E-7
104.98046875,4.72904915506439E-7
105.46875,5.12090510601203E-7
105.95703125,5.06778492178437E-7
106.4453125,4.82710534023139E-7
106.93359375,4.50999225014964E-7
107.421875,4.07524454322734E-7
107.91015625,3.6535609861444E-7
108.3984375,3.95226177518204E-7
108.88671875,4.39624631641042E-7
109.375,4.2849084361882E-7
109.86328125,4.09047337852339E-7
110.3515625,4.14085742641243E-7
110.83984375,4.49441890150911E-7
111.328125,4.70768526882304E-7
111.81640625,4.35371685916936E-7
112.3046875,3.77818743250627E-7
112.79296875,3.81667773120245E-7
